Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SizeCategory,SizeCategoryEncoded
1,5.1,3.5,1.4,0.2,Iris-setosa,Medium,1
2,4.9,3.0,1.4,0.2,Iris-setosa,Small,2
3,4.7,3.2,1.3,0.2,Iris-setosa,Small,2
4,4.6,3.1,1.5,0.2,Iris-setosa,Small,2
5,5.0,3.6,1.4,0.2,Iris-setosa,Small,2
6,5.4,3.9,1.7,0.4,Iris-setosa,Medium,1
7,4.6,3.4,1.4,0.3,Iris-setosa,Small,2
8,5.0,3.4,1.5,0.2,Iris-setosa,Small,2
9,4.4,2.9,1.4,0.2,Iris-setosa,Small,2
10,4.9,3.1,1.5,0.1,Iris-setosa,Small,2
11,5.4,3.7,1.5,0.2,Iris-setosa,Medium,1
12,4.8,3.4,1.6,0.2,Iris-setosa,Small,2
13,4.8,3.0,1.4,0.1,Iris-setosa,Small,2
14,4.3,3.0,1.1,0.1,Iris-setosa,Small,2
15,5.8,4.0,1.2,0.2,Iris-setosa,Medium,1
16,5.7,4.4,1.5,0.4,Iris-setosa,Medium,1
17,5.4,3.9,1.3,0.4,Iris-setosa,Medium,1
18,5.1,3.5,1.4,0.3,Iris-setosa,Medium,1
19,5.7,3.8,1.7,0.3,Iris-setosa,Medium,1
20,5.1,3.8,1.5,0.3,Iris-setosa,Medium,1
21,5.4,3.4,1.7,0.2,Iris-setosa,Medium,1
22,5.1,3.7,1.5,0.4,Iris-setosa,Medium,1
23,4.6,3.6,1.0,0.2,Iris-setosa,Small,2
24,5.1,3.3,1.7,0.5,Iris-setosa,Medium,1
25,4.8,3.4,1.9,0.2,Iris-setosa,Small,2
26,5.0,3.0,1.6,0.2,Iris-setosa,Small,2
27,5.0,3.4,1.6,0.4,Iris-setosa,Small,2
28,5.2,3.5,1.5,0.2,Iris-setosa,Medium,1
29,5.2,3.4,1.4,0.2,Iris-setosa,Medium,1
30,4.7,3.2,1.6,0.2,Iris-setosa,Small,2
31,4.8,3.1,1.6,0.2,Iris-setosa,Small,2
32,5.4,3.4,1.5,0.4,Iris-setosa,Medium,1
33,5.2,4.1,1.5,0.1,Iris-setosa,Medium,1
34,5.5,4.2,1.4,0.2,Iris-setosa,Medium,1
35,4.9,3.1,1.5,0.1,Iris-setosa,Small,2
36,5.0,3.2,1.2,0.2,Iris-setosa,Small,2
37,5.5,3.5,1.3,0.2,Iris-setosa,Medium,1
38,4.9,3.1,1.5,0.1,Iris-setosa,Small,2
39,4.4,3.0,1.3,0.2,Iris-setosa,Small,2
40,5.1,3.4,1.5,0.2,Iris-setosa,Medium,1
41,5.0,3.5,1.3,0.3,Iris-setosa,Small,2
42,4.5,2.3,1.3,0.3,Iris-setosa,Small,2
43,4.4,3.2,1.3,0.2,Iris-setosa,Small,2
44,5.0,3.5,1.6,0.6,Iris-setosa,Small,2
45,5.1,3.8,1.9,0.4,Iris-setosa,Medium,1
46,4.8,3.0,1.4,0.3,Iris-setosa,Small,2
47,5.1,3.8,1.6,0.2,Iris-setosa,Medium,1
48,4.6,3.2,1.4,0.2,Iris-setosa,Small,2
49,5.3,3.7,1.5,0.2,Iris-setosa,Medium,1
50,5.0,3.3,1.4,0.2,Iris-setosa,Small,2
51,7.0,3.2,4.7,1.4,Iris-versicolor,Large,0
52,6.4,3.2,4.5,1.5,Iris-versicolor,Large,0
53,6.9,3.1,4.9,1.5,Iris-versicolor,Large,0
54,5.5,2.3,4.0,1.3,Iris-versicolor,Medium,1
55,6.5,2.8,4.6,1.5,Iris-versicolor,Large,0
56,5.7,2.8,4.5,1.3,Iris-versicolor,Medium,1
57,6.3,3.3,4.7,1.6,Iris-versicolor,Large,0
58,4.9,2.4,3.3,1.0,Iris-versicolor,Small,2
59,6.6,2.9,4.6,1.3,Iris-versicolor,Large,0
60,5.2,2.7,3.9,1.4,Iris-versicolor,Medium,1
61,5.0,2.0,3.5,1.0,Iris-versicolor,Small,2
62,5.9,3.0,4.2,1.5,Iris-versicolor,Medium,1
63,6.0,2.2,4.0,1.0,Iris-versicolor,Medium,1
64,6.1,2.9,4.7,1.4,Iris-versicolor,Large,0
65,5.6,2.9,3.6,1.3,Iris-versicolor,Medium,1
66,6.7,3.1,4.4,1.4,Iris-versicolor,Large,0
67,5.6,3.0,4.5,1.5,Iris-versicolor,Medium,1
68,5.8,2.7,4.1,1.0,Iris-versicolor,Medium,1
69,6.2,2.2,4.5,1.5,Iris-versicolor,Large,0
70,5.6,2.5,3.9,1.1,Iris-versicolor,Medium,1
71,5.9,3.2,4.8,1.8,Iris-versicolor,Medium,1
72,6.1,2.8,4.0,1.3,Iris-versicolor,Large,0
73,6.3,2.5,4.9,1.5,Iris-versicolor,Large,0
74,6.1,2.8,4.7,1.2,Iris-versicolor,Large,0
75,6.4,2.9,4.3,1.3,Iris-versicolor,Large,0
76,6.6,3.0,4.4,1.4,Iris-versicolor,Large,0
77,6.8,2.8,4.8,1.4,Iris-versicolor,Large,0
78,6.7,3.0,5.0,1.7,Iris-versicolor,Large,0
79,6.0,2.9,4.5,1.5,Iris-versicolor,Medium,1
80,5.7,2.6,3.5,1.0,Iris-versicolor,Medium,1
81,5.5,2.4,3.8,1.1,Iris-versicolor,Medium,1
82,5.5,2.4,3.7,1.0,Iris-versicolor,Medium,1
83,5.8,2.7,3.9,1.2,Iris-versicolor,Medium,1
84,6.0,2.7,5.1,1.6,Iris-versicolor,Medium,1
85,5.4,3.0,4.5,1.5,Iris-versicolor,Medium,1
86,6.0,3.4,4.5,1.6,Iris-versicolor,Medium,1
87,6.7,3.1,4.7,1.5,Iris-versicolor,Large,0
88,6.3,2.3,4.4,1.3,Iris-versicolor,Large,0
89,5.6,3.0,4.1,1.3,Iris-versicolor,Medium,1
90,5.5,2.5,4.0,1.3,Iris-versicolor,Medium,1
91,5.5,2.6,4.4,1.2,Iris-versicolor,Medium,1
92,6.1,3.0,4.6,1.4,Iris-versicolor,Large,0
93,5.8,2.6,4.0,1.2,Iris-versicolor,Medium,1
94,5.0,2.3,3.3,1.0,Iris-versicolor,Small,2
95,5.6,2.7,4.2,1.3,Iris-versicolor,Medium,1
96,5.7,3.0,4.2,1.2,Iris-versicolor,Medium,1
97,5.7,2.9,4.2,1.3,Iris-versicolor,Medium,1
98,6.2,2.9,4.3,1.3,Iris-versicolor,Large,0
99,5.1,2.5,3.0,1.1,Iris-versicolor,Medium,1
100,5.7,2.8,4.1,1.3,Iris-versicolor,Medium,1
